ProductID,ISBN,Title,PublicationYear,Genre,Author
44,999081411,The Complete Software Developer's Career Guide,2017,textbook,John Sonmez
66,692980652,Retro Game Dev: C64 Edition (RetroGameDev),2017,textbook,Derek Morris
76,1617292230,Grokking Algorithms,2016,textbook,Aditya Bhargava
120,1491927577,Linux Pocket Guide,2016,textbook, Daniel Barrett 
12,3319130714,Data Structures and Algorithms with Python (Undergraduate Topics in Computer Science),2015,textbook,Kent D. Lee
84,984782869,Cracking the Coding Interview,2015,textbook,Gayle Laakmann McDowell
100,1119002257,Storytelling with Data,2015,textbook,Cole Nussbaumer Knaflic
159,893037893,Programming the 65816,2015,textbook,David Eyes
35,1449357016,Python Pocket Reference,2014,textbook,Mark Lutz
70,133769402,Assembly Language for x86 Processors,2014,textbook,Kip Irvine
75,1502958082,"xchg rax,rax",2014,textbook,xorpd
171,1118008189,HTML and CSS,2011,textbook,Jon Duckett
90,1572229160,Sql Guide (Quick Study,2005,textbook,Inc. BarCharts
150,60972459,Tracks RI,2004,fiction,Louise Erdrich
34,515135283,Without Fail,2003,fiction,Lee Child
58,752215329,In Search of British Heroes: A Companion to the Channel 4 Series Fact or Fiction,2003,fiction,Tony Robinson
119,446612618,A Kiss Remembered,2003,fiction,Sandra Brown
134,373264771,"Crazy Love (Wwl Mystery, 477)",2003,fiction,Steve Brewer
200,1593080603,The Prince and Other Writings (Barnes &amp; Noble Classics),2003,fiction,Niccolo Machiavelli
14,451410602,Death's Door,2002,fiction,Michael Slade
157,843949562,Judas Eyes,2002,fiction,Barry Hoffman
51,373263716,Singing The Sadness (Worldwide Library Mysteries),2001,fiction,Reginald Hill
74,1930353316,Secret Under the Floorboard (Sammy and Brian Mystery),2001,fiction,Ken Munro
121,8481301485,El Amante De L. Chaterley,2001,fiction,D. H. Lawrence
125,970575203,Tickles Tabitha's Cancer-tankerous Mommy,2001,fiction,Amelia Frahm
19,156731399X,The Peaceful Warrior Collection,2000,fiction,Dan Millman
21,553379690,One Hundred and One Ways,2000,fiction,MAKO YOSHIKAWA
47,1578512611,Unleashing the Killer App: Digital Strategies for Market Dominance,2000,fiction,Larry Downes
110,446521663,Host Family,2000,fiction,Mameve Medwed
133,814806406,Bosch,2000,fiction,Joseph Emile Muller
42,340728620,The Rainbow Journey,1999,fiction,Brenda Davies
60,451198859,Never Sorry: A Leigh Koslow Mystery (Leigh Koslow Mystery Series),1999,fiction,Edie Claire
73,1551664917,Charm School,1999,fiction,Susan Wiggs
101,821762966,"Enduring Love (Zebra Bouquet Romances, No 6)",1999,fiction,Ann Josephson
13,452011817,Africans and Their History,1998,fiction,Joseph E. Harris
68,446606243,The Tenth Justice,1998,fiction,Brad Meltzer
85,425163970,A Touch of the Grape (Hemlock Falls Mysteries),1998,fiction,Claudia Bishop
30,157345320X,Praise to the Man,1997,fiction,Larry Barkdull
37,1576730700,Wise Man's House (Palisades Pure Romance),1997,fiction,Melody Carlson
56,671014730,SHE'S COME UNDONE (Oprah's Book Club (Hardcover)),1997,fiction,Wally Lamb
64,804113475,Ladder of Years,1997,fiction,Anne Tyler
129,590939599,Go Eat Worms! (Goosebumps Presents TV Book #9),1997,fiction,Tracey West
48,192800442,The Dictionary of Cricket,1996,fiction,Michael Rundell
89,380725150,Black Hornet (New Orleans Mystery),1996,fiction,James Sallis
91,3499170523,Anatomie der menschlichen Destruktivit,1996,fiction,Erich Fromm
151,28612434,The Unofficial Guide to Atlanta (3rd ed. Serial.),1996,fiction,Fred Brown
156,225313998X,L'homme nu,1996,fiction,Simmons d.
168,1565048628,"Court of All Kings: A Changeling : The Dreaming Novel (Immortal Eyes, Book 3)",1996,fiction,Jackie Cassada
9,394576500,Mapplethorpe: A Biography,1995,fiction,Patricia Morrisroe
25,030730261X,"Ready, Set, Go!: A Counting Book (Little Golden Book)",1995,fiction,Emma Jones
38,847818721,Great Pasta Sauces,1995,fiction,Sally Griffiths
83,8429729941,Reflexions de sala i alcova,1995,fiction,Ramon Solsona
111,394825683,Emperors New Clothes,1995,fiction,Disney Book Club
148,515117870,The Gambler,1995,fiction,Lois Greiman
20,044990962X,Hero's Daughter,1994,fiction,Maureen Murdock
107,345386663,Garfield Pulls His Weight (No. 26),1994,fiction,Jim Davis
144,201633612,Design Patterns,1994,textbook,Erich Gamma
106,679745963,The Man on the Balcony: The Story of a Crime (Vintage Crime/Black Lizard),1993,fiction,Maj Sjowall
146,2253064459,"La Bicyclette bleue, tome 4 : Noir tango",1993,fiction,Rgine Deforges
31,330311115,Greenmantle: A New Tale of Magic &amp; Wonder,1992,fiction,Charles De Lint
59,080755393X,"The Mystery in the Snow (Boxcar Children Mysteries, 32)",1992,fiction,Gertrude Chandler Warner
115,037382503X,"Tyler #3 Wisconsin Wedding (Tyler, No 3)",1992,fiction,Carla Neggers
186,933478208,Chronic Fatigue Syndrome and the Yeast Connection: A Get-Well Guide for People With This Often Misunderstood Illness--And Those Who Care for Them,1992,fiction,William G. Crook
45,75574179,A History of the Modern World,1991,fiction,R. R. Palmer
57,937721735,All-American Low-Fat Meals in Minutes: Recipes and Menus for Special Occasions or Every Day,1991,fiction,M.J. Smith
114,804106665,Paris 2005,1991,fiction,Carlo Zezza
179,821734970,Defiant Ecstasy,1991,fiction,Janelle Taylor
199,821732056,Wild Texas Heart,1990,fiction,Deana James
140,671677128,LIGHT A SINGLE CANDLE,1989,fiction,David Butler
43,345330021,"King of the Murgos (Malloreon, Book 2)",1988,fiction,David Eddings
46,440486815,Thimble Summer (Yearling Newbery),1987,fiction,Elizabeth Enright
141,517480859,Walt Disney World and Epcot Center,1986,fiction,V. Childs
197,394744292,The Firefighter's Cookbook,1986,fiction,John Sineno
191,723002746,Times Concise Atlas of the World,1985,fiction,Times Books
77,912697083,The Crooked Pitch: An Account of the Curveball in American Baseball History,1984,fiction,Martin Quigley
93,195032721,Science Fiction: A Historical Anthology (Galaxy Books),1983,fiction,Eric S. Rabkin
152,910313059,"Caring Is What Counts, No. 5 (Tale from the Care Bears)",1983,fiction,Ward Johnson
196,380545020,Bet You Can't!,1983,fiction,Vicki Cobb
138,553246526,Incredible Journey,1978,fiction,Sheila Burnford
97,807041653,Beyond God the Father Toward a Philosoph,1974,fiction,Mary Daly
24,080246520X,Pilgrims Progress: In Today's English,1964,fiction,John Bunyan
40,525230211,"Water dog: revolutionary rapid training method,",1964,fiction,Richard A Wolters
187,451626222,Ovid the Metamorphoses,1960,fiction,Horace Gregory
164,525459243,Winnie the Pooh Storybook Treasury,0,fiction,A A Milne
