OrderId,ProductID
1,1
1,2
1,3
2,4
2,5
2,6
3,7
3,8
3,9
4,10
4,11
4,12
5,13
5,14
5,15
6,16
6,17
6,18
6,19
7,20
7,21
7,22
7,23
7,24
7,25
8,26
8,27
8,28
8,29
9,30
9,31
9,32
10,33
10,34
10,35
10,36
10,37
10,38
11,39
11,40
11,41
11,42
11,43
11,44
12,45
12,46
12,47
12,48
12,49
13,50
13,51
13,52
13,53
13,54
14,55
14,56
14,57
15,58
15,59
15,60
15,61
15,62
16,25
16,29
16,50
16,59
17,4
17,34
18,63
18,64
18,65
19,66
19,67
19,68
20,69
20,70
21,71
21,72
21,73
21,74
21,75
21,76
22,21
22,35
22,44
22,58
22,68
23,77
23,78
23,79
24,80
24,81
24,82
24,83
24,84
24,85
25,48
25,55
25,57
26,5
26,16
26,31
26,37
26,45
26,51
26,70
26,79
26,80
27,52
27,65
28,86
28,87
28,88
28,89
28,90
28,91
29,92
29,93
29,94
30,95
30,96
30,97
30,98
30,99
31,13
31,41
31,61
31,74
31,75
31,78
32,26
32,63
32,88
32,95
33,100
33,101
34,102
34,103
34,104
34,105
35,7
35,22
35,36
35,47
35,49
35,60
35,66
35,73
35,90
35,99
36,11
36,18
36,32
36,64
36,82
36,91
37,106
37,107
37,108
37,109
37,110
37,111
37,112
37,113
38,72
38,83
38,93
38,97
38,98
38,101
38,105
39,114
39,115
39,116
40,12
40,56
40,71
40,112
41,6
41,8
41,19
41,20
41,76
41,104
41,116
42,10
42,14
42,38
42,77
42,113
42,114
43,3
43,86
43,92
43,96
44,2
44,23
44,100
44,106
44,108
45,117
45,118
45,119
46,9
46,27
46,28
46,30
46,107
46,110
46,115
47,120
47,121
47,122
47,123
48,124
48,125
48,126
48,127
48,128
49,129
49,130
49,131
49,132
49,133
49,134
49,135
50,94
51,136
51,137
51,138
51,139
51,140
51,141
51,142
52,143
52,144
52,145
52,146
52,147
53,148
53,149
53,150
53,151
53,152
54,153
55,154
55,155
55,156
55,157
56,158
56,159
56,160
56,161
57,146
58,111
59,162
59,163
59,164
60,165
60,166
60,167
60,168
60,169
60,170
61,171
61,172
61,173
61,174
62,175
62,176
62,177
62,178
63,15
63,118
63,141
63,142
63,151
63,166
64,179
64,180
64,181
64,182
65,69
65,84
65,129
65,149
65,152
65,157
65,164
65,167
65,176
65,181
66,183
66,184
66,185
67,186
67,187
67,188
68,53
69,189
69,190
69,191
69,192
69,193
70,85
70,139
70,175
70,179
70,190
71,194
71,195
72,109
72,126
72,172
72,178
72,183
72,186
73,39
73,137
73,140
73,147
73,148
73,170
73,173
73,177
74,67
74,134
74,180
74,182
74,191
74,195
75,33
75,40
75,46
75,54
75,117
75,136
75,150
75,162
76,196
76,197
76,198
76,199
76,200
